orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Cash,Unknown,Cash/Money Market/Savings/Checking,485012,1075000,0,Y,,
"",Mesirow Financial Holdings,Misc Finance,,1000001,1000001,1,Y,,
"",Wells Fargo Advantage Growth Admin Class,Unknown,Mutual Fund,500001,1000000,0,Y,,
"",Sequoia Fund,Securities/Invest,,500001,1000000,0,Y,,
"",Ins-Life Ins Cash Value,Unknown,Insurance policies & Annuities,300003,750000,0,Y,,
"",Thornburg International Value Fund,Unknown,Mutual Fund,295004,650000,0,Y,,
"",Wells Fargo Intrinsic Value Fund,Unknown,Mutual Fund,280003,600000,0,Y,,
"",Pimco All Asset Fund,Unknown,Mutual Fund,280003,600000,0,Y,,
"",Lord Abbett Value Opportunities Fund,Unknown,Mutual Fund,300002,600000,0,Y,,
"",Columbia Acorn International Fund,Unknown,Mutual Fund,280003,600000,0,Y,,
"",PIMCO Total Return Fund,Unknown,Mutual Fund,252003,530000,0,Y,,
"",Timbervest Partners II,Unknown,,250001,500000,0,Y,,
"",Oppenheimer Developing Markets Fund,Unknown,Mutual Fund,250001,500000,0,Y,,
"",New Century Alternative Strategies Fund,Unknown,Mutual Fund,250001,500000,0,Y,,
"",Franklin in Cmnty Mlti Multi School Building Crp,Unknown,Government Bond,200002,500000,0,Y,,
"",EuroPacific Growth Fund,Unknown,Mutual Fund,250001,500000,0,Y,,
"",Berwyn Income,Securities/Invest,,250001,500000,0,Y,,
"",Trigran Investments LP II,Unknown,Mutual Fund,200003,450000,0,Y,,
"",First Eagle Global Fund,Unknown,Mutual Fund,180004,450000,0,Y,,
"",iShares Core S&P 100 Index Fund,Unknown,Mutual Fund,148007,445000,0,Y,,
"",Vanguard Index Fds Vanguard Total Stk Mk,Unknown,Mutual Fund,134007,410000,0,Y,,
"",Blackrock Credit All Inc Trust,Unknown,Mutual Fund,134008,360000,0,Y,,
"",Cash - MB Financial - Money Market,Unknown,Cash/Money Market/Savings/Checking,150002,350000,0,Y,,
"",Principal Funds High Yield Fund,Unknown,Mutual Fund,102003,280000,0,Y,,
D000000118,Union Pacific Corp,Railroads,,100001,250000,0,Y,Y,
"",Stratysys Ltd,Misc Mfg/Distrib,,100001,250000,0,Y,,
"","South Ripley Community Multi-School, IN",Unknown,Government Bond,100001,250000,0,Y,,
"","Rental Property/Deerfield, IL",Real Estate,,100001,250000,0,Y,,
D000028227,Parker-Hannifin,Misc Mfg/Distrib,,100001,250000,0,Y,Y,
"",Middleby Corp,Misc Mfg/Distrib,,100001,250000,0,Y,,
"",Mastercard Income,Unknown,,100001,250000,0,Y,,
D000061928,John Hancock Life Insurance,Insurance,Insurance policies & Annuities,100001,250000,0,Y,,
"",Ivy Asset Strategy Fund,Unknown,Mutual Fund,100001,250000,0,Y,,
"",iShares Russell Midcap ETF,Unknown,Mutual Fund,100001,250000,0,Y,,
"",Grant County WA School District 161 Mose,Unknown,Government Bond,100001,250000,0,Y,,
D000022008,Google Inc,Internet,,100001,250000,0,Y,Y,Y
D000026221,Gilead Sciences,Pharm/Health Prod,,100001,250000,0,Y,Y,
"",Fairhome Funds Inc,Unknown,Mutual Fund,100001,250000,0,Y,,
"",Fairholme Funds,Securities/Invest,Mutual Fund,100001,250000,0,Y,,
D000033563,Facebook Inc,Internet,,100001,250000,0,Y,Y,
D000000129,Exxon Mobil,Oil & Gas,,100001,250000,0,Y,Y,
D000032528,Chicago Bridge & Iron,Construction Svcs,,100001,250000,0,Y,Y,
"",Borg Warner Inc,Automotive,,100001,250000,0,Y,,
D000000100,Boeing Co,Defense Aerospace,,100001,250000,0,Y,Y,
D000021700,Ameriprise Financial,Securities/Invest,,100001,250000,0,Y,Y,
D000046668,Alliance Data Systems,Electronics Mfg/Eqp,,100001,250000,0,Y,Y,
"",Active Assets Account Cash,Unknown,Cash/Money Market/Savings/Checking,100001,250000,0,Y,,
"",Eaton Vance Tax Managed Diversified Fund,Unknown,Mutual Fund,103005,245000,0,Y,,
"",Royce Value Tr Inc Fund,Unknown,Mutual Fund,71008,240000,0,Y,,
"",Liberty All Star Equity Fund,Misc Finance,Mutual Fund,71008,240000,0,Y,,
"",GDL Fund Cumulative PFD,Unknown,Mutual Fund,71008,240000,0,Y,,
"",Eaton Vance Risk Managed Diversified Equ,Unknown,Mutual Fund,71008,240000,0,Y,,
"",Apartments,Unknown,,13013,195000,0,Y,,
"",Zweig Total Return Fund,Unknown,Mutual Fund,36008,190000,0,Y,,
"",Zweig Fund Inc,Unknown,,36008,190000,0,Y,,
"",Tri Continental Corp,Misc Finance,,36008,190000,0,Y,,
"",Putnam Premier Inc Tr Sh Ben Int,Unknown,Mutual Fund,36008,190000,0,Y,,
"",MFS Charter Income Trust Sh Ben Int,Unknown,Mutual Fund,36008,190000,0,Y,,
"",Blackrock Enhanced Equity Divid Trust,Unknown,Mutual Fund,36008,190000,0,Y,,
"",Alliance Bernstein Income Fund Inc,Unknown,Mutual Fund,36008,190000,0,Y,,
"",Blackrock Global Opportunities Equity,Unknown,Mutual Fund,22008,155000,0,Y,,
"",Mesirow Brokerage Account Berwyn Income,Unknown,"Brokerage, IRA, 401k",45003,150000,0,Y,,
"",Vanguard Sector Index Fds Vanguard Infor,Unknown,Mutual Fund,21007,140000,0,Y,,
"",Special Opportunities Fund Inc Pfd Conv,Unknown,Mutual Fund,21007,140000,0,Y,,
"",MFS Govt Markets Income Tr Sh Ben Int,Unknown,Mutual Fund,21007,140000,0,Y,,
"",Special Opportunities Fund Inc,Unknown,Mutual Fund,20006,125000,0,Y,,
"",Eaton Vance Ltd Duration Income Fund,Unknown,Mutual Fund,20006,125000,0,Y,,
"",Apartment Building,Unknown,,20006,125000,0,Y,,
"",FPA New Income Income Fund,Unknown,Mutual Fund,31003,115000,0,Y,,
"",Fidelity Government Money Market,Unknown,Cash/Money Market/Savings/Checking,19005,110000,0,Y,,
D000000205,Fannie Mae Securities,Real Estate,Government Bond,19005,110000,0,Y,,
"",Doubleline Income Solutions Fund,Unknown,Mutual Fund,19005,110000,0,Y,,
"",Wells Fargo Premier Large Co Growth Fund,Unknown,Mutual Fund,30002,100000,0,Y,,
"",Washington State AGM B/E Bond,Unknown,Government Bond,50001,100000,0,Y,,
"",US Treasury Note Inflation Index Note,Unknown,Government Bond,50001,100000,0,Y,,
"",T Rowe Price Summit Muni Intermediate Fund,Unknown,Mutual Fund,30002,100000,0,Y,,
"",Special Opportunities Fund Income,Unknown,Mutual Fund,30002,100000,0,Y,,
D000000794,Qualcomm Inc,Electronics Mfg/Eqp,,50001,100000,0,Y,Y,
"",Pimco All Asset Institutional Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",M Financial Holdings,Unknown,,50001,100000,0,Y,,
"",Lincoln Financial Universal Policy,Unknown,Insurance policies & Annuities,50001,100000,0,Y,,
"",J Hancock Displ Val,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Ivy Fund Asset Strategy Fund,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Houston TX Rfdg Pub Impt Ser A Npfg,Unknown,Government Bond,50001,100000,0,Y,,
D000000089,FedEx Corp,Air Transport,,50001,100000,0,Y,Y,Y
"",DC Cash - MB Financial - Money Market,Unknown,Cash/Money Market/Savings/Checking,50001,100000,0,Y,,
"",Cornerstone Ondemand Inc,Unknown,,50001,100000,0,Y,,
"",Columbia Growth,Unknown,Mutual Fund,50001,100000,0,Y,,
"",California Rfdg B/E,Unknown,Government Bond,50001,100000,0,Y,,
"",Aero Direct III,Unknown,,50001,100000,0,Y,,
"",Sherman Real Estate Fund VI,Real Estate,,18004,95000,0,Y,,
"",Prescient Partners VII,Misc Finance,,18004,95000,0,Y,,
"",MFS Multimarket Income Tr Sh Ben Int,Unknown,Mutual Fund,18004,95000,0,Y,,
"",Eaton Vance Tax Managed Global Divers Fund,Unknown,Mutual Fund,6006,90000,0,Y,,
"",Vanguard Total Bond,Unknown,Mutual Fund,17003,80000,0,Y,,
"",Nuveen Equity Premium & Growth Fund,Unknown,Mutual Fund,17003,80000,0,Y,,
"",Aerodirect Fund III,Unknown,,17003,80000,0,Y,,
D000000085,Goldman Sachs,Securities/Invest,,5005,75000,0,Y,Y,Y
"",Private Bank/Savings,Unknown,Cash/Money Market/Savings/Checking,16002,65000,0,Y,,
"",Sheridan Pointe Real Estate Fund,Real Estate,,4004,60000,0,Y,,
"",Questek,Unknown,,4004,60000,0,Y,,
"",Nuveen Equity Premium Opportunity Fund,Unknown,Mutual Fund,4004,60000,0,Y,,
"",MFS Inter Income Tr Sh Ben Int,Unknown,Mutual Fund,4004,60000,0,Y,,
"",Market Vectors ETF Gold Miners ETF Fund,Mining,,4004,60000,0,Y,,
"",Logicmark LLC,Unknown,,4004,60000,0,Y,,
"",Generation 3 LP,Unknown,,4004,60000,0,Y,,
"",Fluidmesh Networks LLC,Unknown,,4004,60000,0,Y,,
"",EZ WA Tech LLC,Unknown,,4004,60000,0,Y,,
"",Acorn II LP,Unknown,,4004,60000,0,Y,,
"",Vanguard Limited Term Tax Exempt Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",University AR Univ Rev Various Fac Fayetteville Ca,Unknown,Government Bond,15001,50000,0,Y,,
"",The Private Bank/Checking,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",Taylor Capital Gp Inc,Unknown,,15001,50000,0,Y,,
"",Sherman Real Estate Fund IX,Real Estate,,15001,50000,0,Y,,
D000000415,Sempra Energy,Electric Utilities,,15001,50000,0,Y,Y,
"",San Mateo Cnty CA Cmnty Cllg Dist Rfdg B/E Bond,Unknown,Government Bond,15001,50000,0,Y,,
"",San Antonio Tax Electric & Gas Revenue B/E Bond,Unknown,Government Bond,15001,50000,0,Y,,
"",Royse City TX Indpt School District Rfdg Ser,Unknown,Government Bond,15001,50000,0,Y,,
"",Raleigh NC Comb Enterprise Sys Revenue B/E Bond,Unknown,Government Bond,15001,50000,0,Y,,
"",PSF Blackrock Small Cap Index,Unknown,Mutual Fund,15001,50000,0,Y,,
"",PSF Blackrock Equity Index,Unknown,Mutual Fund,15001,50000,0,Y,,
"",North Shore Residential Inc,Real Estate,,15001,50000,0,Y,,
"",North East Independent School District,Unknown,Government Bond,15001,50000,0,Y,,
"",Nexpoint Cr Strategies Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
D000036161,Netflix Inc,Internet,,15001,50000,0,Y,Y,
