orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
D000022229,RPM International,Chemicals,,500001,1000000,0,Y,Y,Y
"",Rental Property Description 301 Crystal Mtn Rd,Real Estate,,250001,500000,0,Y,,
"",American Funds TaxExempt Bond F1 (NASDAQ),Unknown,Mutual Fund,250001,500000,0,Y,,
"",Alaska State GO Bond,Unknown,Government Bond,250001,500000,0,Y,,
"",SPDR S&P 500 ETF,Securities/Invest,Mutual Fund,100001,250000,0,Y,,
"",iShares Russell 1000 Growth Index,Unknown,Mutual Fund,100001,250000,0,Y,,
"",BlackRock National Municipal Fund,Unknown,Mutual Fund,100001,250000,0,Y,,
"",Blackrock Global Allocation Fund,Securities/Invest,Mutual Fund,100001,250000,0,Y,,
"",Vanguard PRIMECAP Adm (NASDAQ),Unknown,Mutual Fund,46004,165000,0,Y,,
"",Harbor Capital Appreciation Institutional,Unknown,Mutual Fund,46004,165000,0,Y,,
"",PowerShares Dynamic Market ETF,Unknown,Mutual Fund,50001,100000,0,Y,,
"","Birch Lake Townsite, Block 1, Lot 13 Birch Lake AK",Unknown,,50001,100000,0,Y,,
"",American Funds Growth Fund of America,Unknown,Mutual Fund,50001,100000,0,Y,,
"",Tweedy Browne Global Fund,Unknown,Mutual Fund,4004,60000,0,Y,,
"",AMG TimesSquare Small Cap Growth Fund,Unknown,Mutual Fund,4004,60000,0,Y,,
"","Wells Fargo(Anchorage, AK)/Checking & savings",Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,Y,,
"",Select Sector SPDR Industrial Fund,Unknown,,15001,50000,0,Y,,
"",iShares Russell 1000 Value Index,Unknown,Mutual Fund,15001,50000,0,Y,,
"",iShares MSCI EAFE Index Fund,Unknown,Mutual Fund,15001,50000,0,Y,,
"",Glenmede Fund Tax Exempt Portfolio,Unknown,Mutual Fund,15001,50000,0,Y,,
"","Birch Lake Townsite, Block 1, Lot 12 Birch Lake AK",Unknown,,15001,50000,0,Y,,
"",Harbor Small Cap Value Fund,Unknown,Mutual Fund,3003,45000,0,Y,,
"",Dodge & Cox International Fund,Unknown,Mutual Fund,3003,45000,0,Y,,
"","Birch Lake Townsite, Block 1, Lot 14 Birch Lake AK",Unknown,,1001,15000,0,Y,,
"",State of Alaska Permanent Fund,Unknown,Mutual Fund,0,5000,0,Y,,
"",Virtus Multi Sector Short Term Bond Fund,Unknown,Mutual Fund,0,1000,0,Y,,
"",Nuveen Municipal Value Fund,Unknown,Mutual Fund,0,1000,0,Y,,
"",Glenmede Small Cap Equity Adv (NASDAQ),Unknown,Mutual Fund,0,1000,0,Y,,
D000061041,Doyon Ltd,Oil & Gas,,0,1000,0,Y,,
"",Baan O Yeel Kon,Unknown,,0,1000,0,Y,,
"",ASTON/LMCG Small Cap Growth Fund,Unknown,Mutual Fund,0,1000,0,Y,,
