orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Commerce Bank/Checking,Unknown,Cash/Money Market/Savings/Checking,500001,1000000,0,N,,
"",Vanguard Value Vipers,Unknown,Mutual Fund,266003,565000,0,N,,
"",Whole Life Policies,Unknown,Insurance policies & Annuities,250001,500000,0,N,,
"",Vanguard Ind Van Growth Vipers,Unknown,Mutual Fund,250001,500000,0,N,,
"",Profit Sharing Fund,Unknown,Mutual Fund,100001,250000,0,N,,
"",Grand Prairie Tax Wtr & Wast Rev Bond,Unknown,Government Bond,100001,250000,0,N,,
"",AQR Money Future,Unknown,Mutual Fund,100001,250000,0,N,,
"",Dodge & Cox International Stock Fund,Unknown,Mutual Fund,65002,150000,0,N,,
"",Cohen & Steers Instl Realty Share,Real Estate,,52003,130000,0,N,,
"",Meridian Growth Fund,Unknown,Mutual Fund,51002,115000,0,N,,
"",Blackrock Small Cap Growth Eq,Unknown,Mutual Fund,51002,115000,0,N,,
D000031066,William Blair & Co,Securities/Invest,,50001,100000,0,N,,
"",Vanguard Conservative Income Portfolio,Unknown,Mutual Fund,50001,100000,0,N,,
"",Vanguard Aggressive Growth Portfolio,Unknown,Mutual Fund,50001,100000,0,N,,
"",University OK Rev Gen Rev-U of OK Bond,Unknown,Government Bond,50001,100000,0,N,,
"",Sth Dako Brd Reg Hsg Sys,Unknown,Government Bond,50001,100000,0,N,,
"","Renton, WA Ltd Tax G/O Bond",Unknown,Government Bond,50001,100000,0,N,,
"","Ramapo, NY Pub Impt Bonds",Unknown,Government Bond,50001,100000,0,N,,
"",Polk Marion & Berton Count De Sch,Unknown,Government Bond,50001,100000,0,N,,
"",PIMCO Total Return Fund,Unknown,Mutual Fund,50001,100000,0,N,,
"","Pierre County, WA Ltd Tax G/O Bond",Unknown,Government Bond,50001,100000,0,N,,
"",Oakmont International Small Cap,Unknown,Mutual Fund,50001,100000,0,N,,
"",Nacogdoches Tex Go Bond,Unknown,Government Bond,50001,100000,0,N,,
"",Laurd Miss Sch Dist Go Bonds,Unknown,Government Bond,50001,100000,0,N,,
"",JP Morgan Mid Cap Value Fund,Unknown,Mutual Fund,50001,100000,0,N,,
"",Houston Tex Bds Public Imp Rev Bond,Unknown,Government Bond,50001,100000,0,N,,
"",Hilton Valdoro Breckeridge Co,Unknown,,50001,100000,0,N,,
"",Garfield Hts Ohio City Sch Det,Unknown,Government Bond,50001,100000,0,N,,
"",East China Sch Dist Mch Ret Bond,Unknown,Government Bond,50001,100000,0,N,,
"",Doneland Ind Sch Bldg Corp Fund,Unknown,Government Bond,50001,100000,0,N,,
"",Cohen & Steers International Realty,Unknown,,50001,100000,0,N,,
"",Carbon VY Bk & Rec Dist Co Go Bond,Unknown,Government Bond,50001,100000,0,N,,
"",Berks County PA GO Bonds,Unknown,Government Bond,50001,100000,0,N,,
"",AR Brd of Reg Ariz St Univ Sys Rev Bond,Unknown,Government Bond,50001,100000,0,N,,
"",American Beacon Small Cap Val Fund,Unknown,Mutual Fund,50001,100000,0,N,,
"",Touchstone Emerging Marekts Fund,Unknown,Cash/Money Market/Savings/Checking,17003,80000,0,N,,
"",Vanguard Growth Vipers,Unknown,Mutual Fund,16002,65000,0,N,,
"",Northwestern Mutual Whole Life,Unknown,Insurance policies & Annuities,16002,65000,0,N,,
"","Waupaca County, WI G/O Prom ND Sv Bond",Unknown,Government Bond,15001,50000,0,N,,
"",Variable Comp Life,Unknown,Insurance policies & Annuities,15001,50000,0,N,,
"",Vanguard Windsor II,Unknown,Mutual Fund,15001,50000,0,N,,
"",Vanguard Small Cap Index,Unknown,Mutual Fund,15001,50000,0,N,,
"",Vanguard Midcap Index,Unknown,Mutual Fund,15001,50000,0,N,,
"",Vanguard Income Port,Unknown,Mutual Fund,15001,50000,0,N,,
"",Stone Harbor Local Mrkt Fund,Unknown,Mutual Fund,15001,50000,0,N,,
"",Sth Suntnt Tex ISD Bond,Unknown,Government Bond,15001,50000,0,N,,
"",NY NY Go Bonds,Unknown,Government Bond,15001,50000,0,N,,
"",Nuveen Win LGCP GRI,Unknown,,15001,50000,0,N,,
"",Northwestern Mutual Extra Life policy,Unknown,Insurance policies & Annuities,15001,50000,0,N,,
"",Forward International Small Co Instit,Unknown,Mutual Fund,15001,50000,0,N,,
"",Bank of America/checking,Commercial Banks,Cash/Money Market/Savings/Checking,15001,50000,0,N,,
"",American New World Fund,Unknown,Mutual Fund,15001,50000,0,N,,
"",AF EuroPac Grth R4,Unknown,,15001,50000,0,N,,
"",Tax Free Money Market,Unknown,,2002,30000,0,N,,
"",Store Harbor Level Market Fund,Unknown,Mutual Fund,1001,15000,0,N,,
"",Schwab Small Cap Index,Unknown,Mutual Fund,1001,15000,0,N,,
"",Schwab International Index,Unknown,Mutual Fund,1001,15000,0,N,,
"",Schwab 1000 Index,Unknown,Mutual Fund,1001,15000,0,N,,
"",Oakmark International Small Cap,Unknown,,1001,15000,0,N,,
"",National Life Ins of Verm Whole Life,Unknown,Insurance policies & Annuities,1001,15000,0,N,,
D000000373,McDonald's Corp,Food & Beverage,,1001,15000,0,N,Y,
"",JPMorgan Mid Cap Value Fund,Unknown,Mutual Fund,1001,15000,0,N,,
"",JPMorgan Mid Cap Val Fund Int,Unknown,,1001,15000,0,N,,
"",Dodge & Cox International State Fund,Unknown,Mutual Fund,1001,15000,0,N,,
"",Blackrock Small Cap Growth Equity,Unknown,,1001,15000,0,N,,
"",Bank of America money market,Commercial Banks,Cash/Money Market/Savings/Checking,1001,15000,0,N,,
"",ASG Money Future Strat Fund,Unknown,Mutual Fund,1001,15000,0,N,,
"",AQR Managed Futures Fund,Unknown,Mutual Fund,1001,15000,0,N,,
"",American Beacon Small Cap Val,Unknown,,1001,15000,0,N,,
"",Fidelity Cash Reserves,Unknown,Cash/Money Market/Savings/Checking,3,3000,0,N,,
"",Walgreen Co,Retail Sales,,1,1000,0,N,,
D000000071,CitiGroup Inc,Commercial Banks,,1,1000,0,N,Y,
"",American Funds EuroPac Growth Fund,Unknown,Mutual Fund,1,1000,0,N,,
