orgid,orgname,industry,asset_type,min,max,hidemax,type,lobbies,contributes
"",Fidelity Spartan Total Market Index,Unknown,Mutual Fund,250001,500000,0,N,,
"",Wells Fargo/Cash Sweep,Unknown,Cash/Money Market/Savings/Checking,100001,250000,0,N,,
"",Wells Fargo IRA Money Market,Unknown,Cash/Money Market/Savings/Checking,100001,250000,0,N,,
"",Money Market Account,Unknown,Cash/Money Market/Savings/Checking,66003,165000,0,N,,
"",Wells Fargo Accounts,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,N,,
"",Vanguard Tax Exempt MM,Unknown,Cash/Money Market/Savings/Checking,15001,50000,0,N,,
"",Vanguard 500 Index,Securities/Invest,Mutual Fund,15001,50000,0,N,,
"",S&P 500 ETFTR Unit Series 1,Unknown,,15001,50000,0,N,,
"",iShares S&P Index Fund,Unknown,Mutual Fund,15001,50000,0,N,,
"",Fidelity NASDAQ Composite,Unknown,"Brokerage, IRA, 401k",15001,50000,0,N,,
"",Wells Fargo Advantage Emerg Growth Fund,Unknown,Mutual Fund,1001,15000,0,N,,
"",Curley & Allison LLP Interest In Law Fir,Unknown,,1001,15000,0,N,,
"",Arizona State Credit Union,Credit Unions,Cash/Money Market/Savings/Checking,1001,15000,0,N,,
"",Aim Basic Value Fund,Unknown,Mutual Fund,1,1000,0,N,,
